Symbol	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	comparison	dea
hsa-miR-32-5p	-1.5139766916864241	-1.9987113961865828	-1.0292419871862655	3.9606605757325375	-6.151662101976282	3.0622253875544228e-9	1.3049791266962693e-7	10.764674717608587	CD vs HC	de
hsa-miR-590-3p	-1.4911686917079217	-2.0374495220521656	-0.9448878613636778	-0.7208165277434555	-5.376358417288466	1.7572734819080004e-7	5.123839520931748e-6	6.713371554925416	CD vs HC	de
hsa-miR-144-3p	-1.471242796296906	-1.9008103561275278	-1.041675236466284	8.670170311678186	-6.745750437072399	1.0700120169726967e-10	9.011446765545637e-9	13.957448410464938	CD vs HC	de
hsa-miR-3613-5p	-1.3821389347815716	-1.8992496360891153	-0.8650282334740278	0.8913161511495276	-5.264359913228573	3.0528820118607497e-7	7.047069310711897e-6	6.398630803207952	CD vs HC	de
hsa-miR-624-5p	-1.3444258298275324	-1.737588943596642	-0.9512627160584228	0.39175983088373867	-6.7350601608753395	1.1386304577404235e-10	9.011446765545637e-9	13.550151113797037	CD vs HC	de
hsa-miR-374a-3p	-1.326796661130785	-1.7317544545830637	-0.9218388676785065	3.0702931021597464	-6.453153654210775	5.728404509937307e-10	2.834962323194795e-8	12.351598437227329	CD vs HC	de
hsa-miR-20a-5p	-1.2623477993620247	-1.629157342088545	-0.8955382566355043	5.624839135612261	-6.778222165330424	8.855713514203261e-11	9.011446765545637e-9	14.146645365946569	CD vs HC	de
hsa-miR-96-5p	-1.2469555635377132	-1.7153441677906436	-0.7785669592847828	4.8938279182434075	-5.243509443914509	3.380301426254015e-7	7.490747960578897e-6	6.284955228705698	CD vs HC	de
hsa-miR-127-3p	1.2249360410391352	0.7186687578116369	1.7312033242666336	3.4378904773078007	4.765527147325656	3.2142021717263837e-6	5.5645875098013015e-5	4.193813898109282	CD vs HC	de
hsa-miR-6750-3p	-1.1236028264329811	-1.5939848465564144	-0.6532208063095479	-0.6791163449074025	-4.704782030500724	4.22972508075342e-6	6.717959348166678e-5	3.905073845622982	CD vs HC	de
hsa-miR-374a-5p	-1.1038995697838643	-1.4361423842995273	-0.7716567552682012	4.027729529979055	-6.544121658832781	3.418123012222716e-10	2.1040446097459828e-8	12.85368888347503	CD vs HC	de
hsa-miR-4326	1.0518506979275342	0.013494901883905674	2.090206493971163	2.917542857249327	1.9951948060142348	0.047118260248297614	0.12870826236535607	-4.449275444460642	CD vs HC	non-de
hsa-miR-150-5p	-1.0442286084334658	-1.426666101755271	-0.6617911151116604	8.454040483502062	-5.377897516752437	1.7438826048270883e-7	5.123839520931748e-6	6.873323162229194	CD vs HC	de
hsa-miR-144-5p	-1.0418978960854055	-1.3319468691554799	-0.7518489230153311	10.377781286860197	-7.075077907122473	1.5289695908336244e-11	4.23524576660914e-9	15.824541020190306	CD vs HC	de
hsa-miR-454-3p	-1.0084766306410335	-1.2949319727979471	-0.7220212884841201	5.774160884334774	-6.934039486511974	3.543403978384545e-11	4.907614510062595e-9	15.025366747193459	CD vs HC	de
hsa-miR-11401	-0.9995884025629022	-1.8935007048780121	-0.10567610024779217	0.1648018228349418	-2.2024380022908825	0.02855703586119954	0.08744661076175095	-3.723446843293588	CD vs HC	non-de
hsa-miR-1294	0.9980081701516239	0.5508853931987212	1.4451309471045266	0.4244775959705516	4.396273474469869	1.6358499500372662e-5	1.893270266577321e-4	2.76387674117965	CD vs HC	de
hsa-miR-143-3p	0.9797107538087042	0.681644922222054	1.2777765853953544	6.276390090171234	6.473856649697101	5.095450266092321e-10	2.822879447415146e-8	12.467721926074034	CD vs HC	de
hsa-miR-6889-3p	-0.9516809792142145	-1.3838641565537713	-0.5194978018746578	-0.4062283925398763	-4.337114911476841	2.1031680590697138e-5	2.198405857970984e-4	2.5080628188991483	CD vs HC	de
hsa-miR-618	0.9239291542894554	0.3433525029633986	1.5045058056155123	0.12204280074200671	3.134415041841177	0.0019297835662366184	0.010798990865606935	-1.4518549972698285	CD vs HC	de
hsa-miR-542-3p	0.912660415979434	0.43244852696202396	1.3928723049968441	-1.3867266253605326	3.7432919833939855	2.2588626464952523e-4	0.0018403086855270142	0.4117364456505097	CD vs HC	de
hsa-miR-136-3p	0.9082770565489502	0.3286839962366538	1.4878701168612465	-0.11690789319419025	3.0865446550974958	0.0022553885575983352	0.012014281354898824	-1.5732143620484322	CD vs HC	de
hsa-miR-381-3p	0.9021810099812919	0.3301336112595137	1.4742284087030701	0.8294214849862912	3.1062690097508407	0.0021155338348857254	0.01172005744526692	-1.5835039706561913	CD vs HC	de
hsa-miR-146a-5p	0.8920413931739222	0.6386848899046991	1.1453978964431453	4.601925062260807	6.934742641939169	3.528680996514722e-11	4.907614510062595e-9	15.027355244311465	CD vs HC	de
hsa-miR-98-5p	-0.8914879156114903	-1.1538766310916304	-0.6290992001313502	5.674315034683986	-6.691873222578157	1.4626841595333437e-10	1.0129087804768404e-8	13.665480780635965	CD vs HC	de
hsa-miR-548ac	-0.8848574575489457	-1.2863989058175247	-0.48331600928036667	-0.41337563034605196	-4.3403058277760955	2.0749939114693197e-5	2.198405857970984e-4	2.5190938236712146	CD vs HC	de
hsa-miR-320b	0.8780577398507559	0.5507075493540805	1.2054079303474312	3.373349237065982	5.283088368107317	2.785205848039261e-7	6.708713216581524e-6	6.495745161843403	CD vs HC	de
hsa-miR-6780a-3p	-0.8340875165593388	-1.324396753493065	-0.34377827962561264	-1.5604599848270089	-3.3505719154293403	9.324849198553792e-4	0.006377736365430618	-0.7940106263170374	CD vs HC	de
hsa-miR-3940-3p	0.827058246773456	0.4814271182663495	1.1726893752805625	3.4276567102074327	4.713034780029866	4.075499203218785e-6	6.717959348166678e-5	3.97137100236092	CD vs HC	de
hsa-miR-4646-3p	0.8040269981043624	0.4013766095839714	1.2066773866247533	0.5706328855143648	3.9329634196989467	1.0901114088595236e-4	9.586059055685335e-4	1.0592282960469364	CD vs HC	de
hsa-miR-16-5p	-0.7966570639989445	-1.0549890796780912	-0.5383250483197978	13.759493755513583	-6.073941102361517	4.6755649060318724e-9	1.8501878271011838e-7	10.264957388203872	CD vs HC	de
hsa-miR-3944-5p	0.7957474037376653	0.29005509684169906	1.3014397106336315	-1.0875518668590685	3.0993190177074026	0.0021638729641044315	0.011752800216802502	-1.5066254365132146	CD vs HC	de
hsa-miR-1343-3p	0.793679050648225	0.31712858754671897	1.270229513749731	-1.3806432692907251	3.280298903576843	0.0011861550537398654	0.007641045346184714	-0.9966285628475902	CD vs HC	de
hsa-miR-7977	0.7925008671712346	0.4114804200216835	1.1735213143207857	0.35283627715437044	4.096650000074916	5.6834213733921056e-5	5.336636340439367e-4	1.6452652282178022	CD vs HC	de
hsa-miR-378d	0.7891969900544181	0.39212546454481845	1.1862685155640178	0.42226358474279796	3.9146602266165478	1.1709505074889517e-4	0.001013604033045124	0.998788058948195	CD vs HC	de
hsa-miR-1233-3p	-0.7883376063293661	-1.2900918404641288	-0.2865833721946035	-1.4115513036564944	-3.0945577788969083	0.0021975745119005258	0.011819963879542634	-1.5135458254859584	CD vs HC	de
hsa-miR-196b-5p	-0.7878782687456021	-1.2032989761214983	-0.37245756136970587	0.5904472548783357	-3.7354968849835495	2.3261144815094243e-4	0.001867633946023509	0.3861499261223713	CD vs HC	de
hsa-miR-142-5p	-0.7834142570426508	-1.1136122888843476	-0.4532162252009539	11.998111495587317	-4.672985012117684	4.878239199108495e-6	7.304174368394882e-5	3.6440121864217803	CD vs HC	de
hsa-miR-362-5p	0.7763650070953112	0.5389541303230825	1.01377588386754	3.190821143331015	6.440843369594588	6.140712613418329e-10	2.834962323194795e-8	12.29069441792323	CD vs HC	de
hsa-let-7f-5p	-0.7763132811856845	-1.0711787625116047	-0.48144779985976427	10.629432308304922	-5.185498097134195	4.4809920874269065e-7	9.547960063209639e-6	5.940699522491215	CD vs HC	de
hsa-miR-6509-3p	-0.7759197705403342	-1.2614670597548283	-0.29037248132584015	-1.3510112841906223	-3.1474778437544964	0.0018487992306483315	0.01055912137916676	-1.370236850269218	CD vs HC	de
hsa-miR-6799-3p	-0.7684607259317644	-1.2055297735369193	-0.33139167832660965	-0.6125630647176928	-3.462972339297417	6.29347844373221e-4	0.004596965580828873	-0.4607928870287772	CD vs HC	de
hsa-miR-26b-5p	-0.7627468633015848	-1.0718980130797084	-0.4535957135234613	8.79475171486061	-4.859448253693475	2.091377179604243e-6	3.9952515775887955e-5	4.508807565911553	CD vs HC	de
hsa-miR-548bc	-0.7620657865940936	-1.053301129139666	-0.47083044404852126	2.182618799157793	-5.1537789166828665	5.222552758572862e-7	1.0715904549071725e-5	5.9285236323131265	CD vs HC	de
hsa-miR-939-5p	0.7537139504214281	0.24713005652917996	1.2602978443136763	-1.5109476096709316	2.930438242793351	0.003701317204074122	0.017231342277790454	-1.9466666118561138	CD vs HC	de
hsa-miR-1226-3p	0.7477523463930834	0.4240285195401643	1.0714761732460025	0.9612101210589865	4.549466970406517	8.430735489291707e-6	1.1391774295286843e-4	3.3676982984333703	CD vs HC	de
hsa-miR-431-5p	0.7353594779970932	0.1820625674187657	1.2886563885754208	-0.38052988829201245	2.6176938138939647	0.009398190844924374	0.03800436297874528	-2.7664689307938	CD vs HC	de
hsa-miR-545-5p	-0.7293649845286279	-1.1443358034444922	-0.31439416561276345	-0.0016964380770330355	-3.4618221272292358	6.319176245413829e-4	0.004596965580828873	-0.4745455940844687	CD vs HC	de
hsa-miR-629-5p	0.7257879842907076	0.46780750983217284	0.9837684587492423	3.1330086548371656	5.541155456665166	7.677224115550181e-8	2.8354547733432e-6	7.715511035878514	CD vs HC	de
hsa-miR-6819-3p	-0.7228158670732088	-1.1461446432192384	-0.2994870909271792	-0.14500386587977881	-3.3630032270620998	8.932539074941381e-4	0.006185783309396906	-0.7711194270154076	CD vs HC	de
hsa-miR-145-5p	0.7143389437115095	0.28993479915652387	1.1387430882664953	2.667714773609213	3.31514179258967	0.0010532843654224773	0.006946661171953005	-1.114759143421054	CD vs HC	de
hsa-miR-548aa	-0.7111468797528274	-1.1496076614277255	-0.27268609807792926	-0.7309345197987227	-3.19452250957397	0.0015824630427034617	0.009132130475601227	-1.2468528568091735	CD vs HC	de
hsa-miR-548t-3p	-0.7111468797528274	-1.1496076614277255	-0.27268609807792926	-0.7309345197987227	-3.19452250957397	0.0015824630427034617	0.009132130475601227	-1.2468528568091735	CD vs HC	de
hsa-miR-5001-3p	0.710684282372855	0.4207824964738488	1.0005860682718613	2.828275329026696	4.828399734841411	2.41233308142044e-6	4.454775090356412e-5	4.482776030886056	CD vs HC	de
hsa-miR-15a-5p	-0.7068559651300994	-1.0197457350749326	-0.39396619518526627	10.08007381964487	-4.449558909664439	1.3015825170673226e-5	1.5675580749028187e-4	2.7565719960568043	CD vs HC	de
hsa-miR-330-3p	0.7063585827973975	0.3119018021065445	1.1008153634882505	-0.3293648486439807	3.526981633731764	5.008162626256652e-4	0.0038535029096474797	-0.26771762708439706	CD vs HC	de
hsa-miR-320c	0.6895656447400227	0.29922357089456514	1.0799077185854802	0.9693552541044426	3.4794263534312937	5.936411408697257e-4	0.0044442863789436226	-0.47205214053106026	CD vs HC	de
hsa-miR-126-3p	-0.6885295521651464	-0.9893537243833663	-0.38770537994692655	6.332073389278286	-4.508034722255199	1.0103496950817461e-5	1.2807120003301964e-4	3.0576435029646616	CD vs HC	de
hsa-miR-1908-5p	0.6785253912093145	0.17434820807820484	1.1827025743404243	-1.8263884646856716	2.65069838917078	0.00855069092808691	0.035089502030815914	-2.6254822852471738	CD vs HC	de
hsa-miR-6782-3p	-0.6773512264317836	-1.1415419878868218	-0.2131604649767454	-0.8400229733405348	-2.8740533556766827	0.0044047180235581695	0.019839136463831106	-2.1061419559057284	CD vs HC	de
hsa-miR-3667-3p	0.6754253230868752	0.12190759258171935	1.228943053592031	-2.00127797815744	2.4033841892732855	0.016980720799300172	0.060692382727821265	-3.1722021933206954	CD vs HC	non-de
hsa-miR-6786-3p	-0.6739580658169371	-1.155165744953224	-0.1927503866806501	-1.310388186390924	-2.7585300772585457	0.006239706667197082	0.02638776712692506	-2.38135063292632	CD vs HC	de
hsa-miR-3614-5p	0.6711545219950574	0.14793572956036039	1.1943733144297544	-1.4443390667446008	2.5264841852384716	0.012145607359805558	0.04608675669405671	-2.920074761759695	CD vs HC	de
hsa-miR-185-3p	0.6684570507733749	0.42851747895366876	0.9083966225930811	2.232509434982817	5.487177721489663	1.0089464161844037e-7	3.493476966038498e-6	7.465632561983322	CD vs HC	de
