Symbol	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	comparison	dea
hsa-miR-6131	-5.195778125676893	-5.844380995742593	-4.547175255611192	-1.1958024162159624	-15.80003469168309	1.3173186443973072e-36	7.0213083746376475e-34	71.50520939759012	CD vs HC	de
hsa-miR-126-5p	-2.452700196242912	-3.061130292976861	-1.844270099508963	4.464652587175816	-7.95096948026994	1.531353492506032e-13	2.72070470501905e-11	20.19095770232706	CD vs HC	de
hsa-miR-126-3p	-1.9926804217931284	-2.5019921116941832	-1.4833687318920734	3.5292223850482127	-7.716854626503846	6.287989446657882e-13	6.702996750137301e-11	18.83015102895429	CD vs HC	de
hsa-miR-144-5p	-1.97111718489848	-2.5268556982311905	-1.4153786715657697	6.193559282754683	-6.9956529902103926	4.248968444563139e-11	2.5163335343912814e-9	14.66140786156332	CD vs HC	de
hsa-miR-144-3p	-1.7170533376784185	-2.4253962836327667	-1.0087103917240703	0.41105879787249344	-4.781085631191199	3.4560359764303208e-6	3.878306268988279e-5	4.014384136658363	CD vs HC	de
hsa-miR-3158-3p	1.6096194489878053	1.164105175649405	2.0551337223262056	1.3639638536226486	7.126034127526283	2.016622471339674e-11	1.3435747215300578e-9	15.57935363559198	CD vs HC	de
hsa-miR-98-3p	1.4549955817759477	0.9056524664593347	2.0043386970925607	-0.7899462317501736	5.224013588108494	4.52534738822206e-7	7.309121690673813e-6	6.0454525847544485	CD vs HC	de
hsa-miR-96-5p	-1.439329128654847	-2.0130248356672578	-0.8656334216424364	2.0800934575299914	-4.948400293069749	1.6275414717842473e-6	2.1158039133195216e-5	4.567171914779033	CD vs HC	de
hsa-miR-15a-5p	-1.4077756776374057	-1.8903663462452402	-0.9251850090295713	7.567153946873818	-5.7536156478892435	3.3917029880401107e-8	7.24268345981384e-7	8.142132449928507	CD vs HC	de
hsa-miR-624-5p	-1.4040308730700009	-1.8906609491928201	-0.9174007969471816	-1.9242446101156876	-5.690678101241531	4.6550224553101545e-8	9.189359143260416e-7	8.207674096132749	CD vs HC	de
hsa-miR-142-3p	1.3592817674905986	0.9229130863598674	1.7956504486213298	2.6787446466362725	6.143872974011922	4.5306268862242635e-9	1.5092650814734578e-7	10.256172856425847	CD vs HC	de
hsa-miR-6749-3p	-1.294627503545303	-1.6400692353945983	-0.9491857716960077	1.2649936245444044	-7.391904310057101	4.311590307738412e-12	3.282968048606534e-10	17.04816361852883	CD vs HC	de
hsa-let-7f-2-3p	1.2893003706698538	0.7178883965837509	1.8607123447559566	-1.0420658113432753	4.45031836062183	1.449271828309527e-5	1.2663309581786522e-4	2.797205595360242	CD vs HC	de
hsa-let-7a-3p	1.2019736004280541	0.825788994964004	1.5781582058921042	1.530162814195531	6.3020264198857685	1.957145141169254e-9	7.451131144594374e-8	11.138681854701344	CD vs HC	de
hsa-miR-199b-5p	1.1698241180447733	0.6869923556342341	1.6526558804553124	1.5009548914540716	4.778714100799599	3.492658553685505e-6	3.878306268988279e-5	3.9575745595272362	CD vs HC	de
hsa-miR-561-5p	1.1675457051095828	0.5596236170549225	1.775467793164243	-1.5213312626594995	3.7880201176827923	2.0291105064625331e-4	0.001138437789415295	0.3738470525472204	CD vs HC	de
hsa-miR-618	1.1464777155704458	0.5677863429495239	1.7251690881913677	0.8028274842525199	3.9075533780120706	1.29028119946012e-4	7.996742782700511e-4	0.6203367262595645	CD vs HC	de
hsa-miR-548at-5p	-1.114558395446919	-1.6095428465490615	-0.6195739443447763	-1.9385843672579837	-4.441171869007674	1.5062705851849594e-5	1.2949068095219088e-4	2.7876499792041134	CD vs HC	de
hsa-miR-28-5p	1.0955661459469195	0.5761777506958543	1.6149545411979846	-1.02304146566448	4.160376850443286	4.784092047175034e-5	3.547111481498095e-4	1.6910690850981869	CD vs HC	de
hsa-let-7i-5p	-1.0918541371627128	-1.4441099620572455	-0.7395983122681802	9.561213816042102	-6.113539887994007	5.313908588961697e-9	1.666066634068579e-7	9.923211761117049	CD vs HC	de
hsa-miR-9903	1.0349954203471088	0.5904389698084916	1.479551870885726	-0.3962257534371139	4.59195709187842	7.916181515945233e-6	7.960990090563791e-5	3.335514986964851	CD vs HC	de
hsa-miR-199a-5p	1.0320753872005421	0.6979606976057542	1.3661900767953301	3.1079947416877323	6.092592905899363	5.930810892820031e-9	1.7561790032628203e-7	9.956577818819875	CD vs HC	de
hsa-miR-5690	1.016338934879958	0.6731271833043284	1.3595506864555877	1.4048949015950014	5.840670724368419	2.1807071218029014e-8	5.05355172139542e-7	8.825297621119656	CD vs HC	de
hsa-miR-3960	-1.013528014811229	-1.5217350394411542	-0.5053209901813036	0.20479708199237373	-3.933520366556814	1.1677874276060421e-4	7.499165047156873e-4	0.723887501331852	CD vs HC	de
hsa-miR-19b-3p	1.0131363591956744	0.6521464009665385	1.3741263174248102	6.919847525913795	5.535528482628457	1.0060139810932009e-7	1.729695006202181e-6	7.098278374662957	CD vs HC	de
hsa-miR-98-5p	-1.0073660532549096	-1.3084583061317043	-0.7062738003781148	3.4296794791810297	-6.598937876633435	3.909442468561748e-10	1.894302577948556e-8	12.558621786796357	CD vs HC	de
hsa-miR-4707-3p	-1.0059479426521507	-1.888818266847458	-0.1230776184568434	-0.5979135584326103	-2.2473198974683615	0.025754168281664224	0.06444587649824897	-4.029665041214237	CD vs HC	non-de
hsa-let-7g-5p	-1.0050997801356	-1.2911961730977024	-0.7190033871734978	7.462932875175141	-6.929200132962985	6.193903191307945e-11	3.3013504009671347e-9	14.286197591345003	CD vs HC	de
hsa-miR-660-3p	1.0042354886547615	0.6589108846406633	1.3495600926688598	0.7753664329395912	5.735804650757286	3.7104907370305024e-8	7.60650601091253e-7	8.352562437328078	CD vs HC	de
hsa-miR-1306-3p	-0.9941111870179953	-1.5093415916240684	-0.4788807824119222	-1.4031817681199577	-3.805570632014204	1.8998774808671532e-4	0.0010772709545768008	0.42502022845516496	CD vs HC	de
hsa-miR-4448	-0.9939749573850385	-1.4513337351412774	-0.5366161796287996	-0.5309948445522349	-4.286518807297383	2.8663374996589756e-5	2.280235652713782e-4	2.1239562241280368	CD vs HC	de
hsa-let-7a-5p	-0.990687975959144	-1.2434993035171238	-0.7378766484011644	9.611091254630656	-7.729059883853838	5.844582221994443e-13	6.702996750137301e-11	18.834569019930335	CD vs HC	de
hsa-miR-548k	-0.977321974582673	-1.5315082442166243	-0.42313570494872166	-0.6831957961823134	-3.47830940910817	6.238352602969722e-4	0.002866415463261088	-0.7178049433143885	CD vs HC	de
hsa-miR-215-5p	0.9726358936676958	0.1867503519296927	1.7585214354056988	3.8451227821501566	2.44105352880141	0.015548558429271503	0.04384858012064397	-4.068361975626543	CD vs HC	de
hsa-miR-574-5p	-0.9629078345002728	-1.539339251435874	-0.38647641756467166	-1.5040858323297857	-3.2947569804106265	0.001172488010240349	0.00480720084198543	-1.2293320144749362	CD vs HC	de
hsa-miR-5189-5p	-0.9418664034969966	-1.4720742700102978	-0.41165853698369537	-0.6793962401165797	-3.503720452655964	5.704831927241174e-4	0.0026908632010792435	-0.6337161954554267	CD vs HC	de
hsa-miR-186-5p	0.9293965175762153	0.7225620286582415	1.1362310064941892	11.087996254964123	8.862666204686482	5.225447295814588e-16	1.392581704334588e-13	25.727068621071435	CD vs HC	de
hsa-miR-584-5p	-0.9016993183624136	-1.1836875078737692	-0.619711128851058	5.541443968891777	-6.306917231732154	1.9065972337220583e-9	7.451131144594374e-8	10.956854934716139	CD vs HC	de
hsa-let-7f-5p	-0.8986519908109933	-1.1980314799632905	-0.5992725016586962	9.103393547087865	-5.920464851885073	1.4492397078238892e-8	3.862223821350665e-7	8.952695741672457	CD vs HC	de
hsa-miR-335-5p	0.8889535212318052	0.5146670939878889	1.2632399484757215	2.309806983633312	4.684478881406654	5.293486365362698e-6	5.532212221055525e-5	3.4748770819395522	CD vs HC	de
hsa-miR-6748-3p	-0.8864005122809357	-1.3652512951103324	-0.40754972945153917	-1.9495930730167448	-3.6510359229856384	3.3645903669551343e-4	0.0017243525630645064	-0.07247892951472501	CD vs HC	de
hsa-miR-4659b-3p	0.8766359447321901	0.5400946396854313	1.213177249778949	0.9910171274060593	5.137681871505482	6.79249223833269e-7	9.527364113240327e-6	5.553246719561843	CD vs HC	de
hsa-miR-6743-3p	-0.8641417419468989	-1.3273602826139197	-0.400923201279878	-1.2046867482163452	-3.679470788686391	3.032822279346578e-4	0.0015901225748614276	-0.012298308228774424	CD vs HC	de
hsa-miR-181d-5p	-0.8525626775808388	-1.2247175332985747	-0.4804078218631029	-0.13928691136026816	-4.518444334291919	1.085364122588516e-5	1.0149106619994369e-4	2.9959393954061744	CD vs HC	de
hsa-let-7f-1-3p	0.8351676027040252	0.4713754767308461	1.1989597286772042	1.1401030480632464	4.528002455477526	1.0419479576044329e-5	9.917111810770763e-5	2.9425881910512697	CD vs HC	de
hsa-miR-4695-3p	0.8253219449819365	0.28887532748099476	1.3617685624828781	-1.7096573033612643	3.034472395977171	0.0027423878520571893	0.010293610740468183	-1.9763356215124173	CD vs HC	de
hsa-miR-4326	-0.8222364489641465	-1.955144867203897	0.3106719692756039	3.222275617268432	-1.4314897091076528	0.15391100814019326	0.26808682136837586	-5.961172991537205	CD vs HC	non-de
hsa-let-7b-5p	-0.8211871421034163	-1.1668004483172023	-0.47557383588963015	7.397290008723419	-4.686385337268823	5.249452990245778e-6	5.532212221055525e-5	3.2829842069300463	CD vs HC	de
